Address	Arena 	City 	State  Abrv	State	Team 	Gender Distinction	Conference 	Capacity 	Opened
"Oxford, OH, Millett Hall"	Millett Hall	Oxford	OH	Ohio	Miami (Ohio) 		MAC 	"6,400"	1968
"DeKalb, IL, Convocation Center"	Convocation Center	DeKalb	IL	Illinois	Northern Illinois 		MAC 	"10,000"	2002
"Athens, OH, Convocation Center"	Convocation Center	Athens	OH	Ohio	Ohio 		MAC 	"13,080"	1968
"Toledo, OH, Savage Arena"	Savage Arena	Toledo	OH	Ohio	Toledo 		MAC 	"7,300"	1976
"Kalamazoo, MI, University Arena"	University Arena	Kalamazoo	MI	Michigan	Western Michigan 		MAC 	"5,421"	1957
"Daytona, FL, Moore Gymnasium"	Moore Gymnasium	Daytona	FL	Florida	Bethune-Cookman 		MEAC 	"3,000"	1953[3]
"Baltimore, MD, Physical Education Complex"	Physical Education Complex	Baltimore	MD	Maryland	Coppin State 		MEAC 	"4,100"	2009
"Dover, DE, Memorial Hall"	Memorial Hall	Dover	DE	Delaware	Delaware State 		MEAC 	"3,000"	1982[4]
"Tallahassee, FL, Teaching Gym"	Teaching Gym	Tallahassee	FL	Florida	Florida A&M 		MEAC 	"9,639"	2009
"Washington, DC, Burr Gymnasium"	Burr Gymnasium	Washington	DC	District of Columbia	Howard 		MEAC 	"2,700"	1963
"Princess Anne, MD, Hytche Athletic Center"	Hytche Athletic Center	Princess Anne	MD	Maryland	Maryland Eastern Shore 		MEAC 	"5,500"	1999[5]
"Baltimore, MD, Talmadge L. Hill Field House"	Talmadge L. Hill Field House	Baltimore	MD	Maryland	Morgan State 		MEAC 	"4,250"	1975[6]
"Norfolk, VA, Joseph G. Echols Memorial Hall"	Joseph G. Echols Memorial Hall	Norfolk	VA	Virginia	Norfolk State 		MEAC 	"7,000"	1982
"Greensboro, NC, Corbett Sports Center"	Corbett Sports Center	Greensboro	NC	North Carolina	North Carolina A&T 		MEAC 	"5,700"	1978
"Durham, NC, McLendon–McDougald Gymnasium"	McLendon–McDougald Gymnasium	Durham	NC	North Carolina	North Carolina Central 		MEAC 	"3,056"	1955
"Savannah, GA, Tiger Arena"	Tiger Arena	Savannah	GA	Georgia	Savannah State 		MEAC[g] 	"6,000"	2000
"Orangeburg, SC, SHM Memorial Center"	SHM Memorial Center	Orangeburg	SC	South Carolina	South Carolina State 		MEAC 	"3,200"	1968
"Peoria, IL, Carver Arena"	Carver Arena	Peoria	IL	Illinois	Bradley 	Men	Missouri Valley 	"11,164"	1982
